Year,Month,State,Age Group,Footnote,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2020,4,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,101,4,4,0,4
2020,4,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,173,10,4,0,15
2020,4,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,20,322,13,4,4,29
2020,4,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,53,715,49,4,4,95
2020,4,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,87,1061,81,29,4,144
2020,4,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,92,1224,113,31,4,175
2020,4,Alabama,85 years and over,,80,1171,83,21,0,142
2020,5,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,430,5108,399,132,4,699
2020,5,Alabama,Under 1 year,,0,43,0,0,0,0
2020,5,Alabama,1-4 years,,0,10,0,0,0,0
2020,5,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2020,5,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,65,4,0,0,4
2020,5,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,142,4,4,0,4
2020,5,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,193,4,4,0,16
2020,5,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,27,336,19,4,0,42
2020,5,Alabama,55-64 years,,51,776,67,14,0,104
2020,5,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,100,1083,99,30,4,169
2020,5,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,109,1243,102,39,4,173
2020,5,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,129,1209,98,41,4,187
2020,6,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,399,4901,350,130,4,620
2020,6,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,36,0,0,0,4
2020,6,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,6,Alabama,5-14 years,,0,12,0,0,0,0
2020,6,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,62,4,0,0,4
2020,6,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,119,4,4,0,4
2020,6,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,13,197,12,4,0,21
2020,6,Alabama,45-54 years,,29,356,18,11,0,36
2020,6,Alabama,55-64 years,,61,724,53,18,0,96
2020,6,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,108,1040,87,35,4,161
2020,6,Alabama,75-84 years,,105,1218,101,34,0,172
2020,6,Alabama,85 years and over,,78,1133,72,25,0,125
2020,7,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,879,5717,522,279,4,1124
2020,7,Alabama,Under 1 year,,0,32,0,0,0,0
2020,7,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,7,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,7,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,63,4,0,0,4
2020,7,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,121,4,4,0,10
2020,7,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,22,191,11,4,0,25
2020,7,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,45,387,23,10,4,59
2020,7,Alabama,55-64 years,,127,872,87,44,0,170
2020,7,Alabama,65-74 years,,211,1265,140,73,0,278
2020,7,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,227,1438,127,68,4,287
2020,7,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,238,1335,126,72,4,292
2020,8,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,964,5765,572,334,4,1203
2020,8,Alabama,Under 1 year,,0,36,0,0,0,0
2020,8,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,8,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,8,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,74,0,0,0,4
2020,8,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,131,11,4,0,15
2020,8,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,18,215,18,4,0,29
2020,8,Alabama,45-54 years,,63,367,30,18,0,75
2020,8,Alabama,55-64 years,,139,858,78,47,0,170
2020,8,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,233,1230,143,79,4,298
2020,8,Alabama,75-84 years,,255,1485,156,101,0,310
2020,8,Alabama,85 years and over,,247,1357,136,78,0,305
2020,9,Alabama,All Ages,,568,5110,426,193,0,801
2020,9,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,32,4,4,0,4
2020,9,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,9,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,9,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,56,4,0,0,4
2020,9,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,97,4,4,0,4
2020,9,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,172,10,4,0,17
2020,9,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,29,330,22,4,0,42
2020,9,Alabama,55-64 years,,67,752,56,17,0,106
2020,9,Alabama,65-74 years,,138,1148,118,58,0,198
2020,9,Alabama,75-84 years,,178,1273,128,62,0,244
2020,9,Alabama,85 years and over,,139,1237,88,42,0,185
2020,10,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,560,5199,437,189,4,810
2020,10,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,38,4,0,0,4
2020,10,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,11,4,0,0,4
2020,10,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2020,10,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,67,4,0,0,4
2020,10,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,122,0,0,0,4
2020,10,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,12,156,4,4,0,16
2020,10,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,25,324,21,4,0,38
2020,10,Alabama,55-64 years,,78,754,53,25,0,106
2020,10,Alabama,65-74 years,,150,1173,125,53,0,222
2020,10,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,171,1330,135,63,4,244
2020,10,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,118,1218,92,37,4,174
2020,11,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,768,5548,456,232,4,993
2020,11,Alabama,Under 1 year,,0,30,0,0,0,0
2020,11,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2020,11,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,11,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,58,4,0,0,4
2020,11,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,129,4,4,4,12
2020,11,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,12,192,4,4,0,18
2020,11,Alabama,45-54 years,,35,329,29,16,0,48
2020,11,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,104,793,67,33,4,139
2020,11,Alabama,65-74 years,,197,1270,106,52,0,251
2020,11,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,228,1411,128,75,4,281
2020,11,Alabama,85 years and over,,186,1324,107,53,0,240
2020,12,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1749,7025,854,581,4,2026
2020,12,Alabama,Under 1 year,,0,30,0,0,0,0
2020,12,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,12,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2020,12,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,74,4,0,0,4
2020,12,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,115,4,4,0,4
2020,12,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,23,222,4,4,0,27
2020,12,Alabama,45-54 years,,97,405,37,29,0,105
2020,12,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,212,953,104,65,4,252
2020,12,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,431,1593,228,145,4,515
2020,12,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,528,1868,270,193,4,607
2020,12,Alabama,85 years and over,,449,1751,200,141,0,508
2021,1,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2415,7821,1164,891,4,2692
2021,1,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,42,4,0,0,4
2021,1,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,1,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,1,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,73,4,0,0,4
2021,1,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,125,4,4,0,12
2021,1,Alabama,35-44 years,,49,240,23,18,0,54
2021,1,Alabama,45-54 years,,116,469,61,44,0,133
2021,1,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,344,1157,158,117,4,387
2021,1,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,628,1793,319,249,4,700
2021,1,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,734,2041,363,289,4,808
2021,1,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,533,1872,233,172,4,594
2021,2,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,970,5554,560,345,4,1189
2021,2,Alabama,Under 1 year,,0,23,0,0,0,0
2021,2,Alabama,1-4 years,,0,12,0,0,0,0
2021,2,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,4,0,0,4
2021,2,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,50,4,4,0,4
2021,2,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,127,4,4,0,10
2021,2,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,20,177,14,4,0,26
2021,2,Alabama,45-54 years,,50,345,32,17,0,65
2021,2,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,150,820,91,58,4,184
2021,2,Alabama,65-74 years,,300,1278,161,106,0,355
2021,2,Alabama,75-84 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,288,1470,160,105,4,345
2021,2,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,153,1243,97,49,4,202
2021,3,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,393,5076,364,143,4,615
2021,3,Alabama,Under 1 year,,0,35,0,0,0,0
2021,3,Alabama,1-4 years,,0,10,0,0,0,0
2021,3,Alabama,5-14 years,,0,10,0,0,0,0
2021,3,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,57,4,0,0,4
2021,3,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,127,4,4,0,4
2021,3,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,10,183,4,0,0,11
2021,3,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,29,354,23,10,4,42
2021,3,Alabama,55-64 years,,58,769,55,31,0,82
2021,3,Alabama,65-74 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,117,1132,108,43,4,183
2021,3,Alabama,75-84 years,,113,1314,107,39,0,181
2021,3,Alabama,85 years and over,,60,1085,64,18,0,106
2021,4,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,216,4972,287,72,4,432
2021,4,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,37,4,0,0,4
2021,4,Alabama,1-4 years,,0,10,0,0,0,0
2021,4,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,4,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,81,4,4,0,4
2021,4,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,126,4,4,0,4
2021,4,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,204,4,4,4,11
2021,4,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,24,357,21,4,0,38
2021,4,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,36,747,48,16,4,69
2021,4,Alabama,65-74 years,,52,1162,83,18,0,117
2021,4,Alabama,75-84 years,,48,1184,68,11,0,105
2021,4,Alabama,85 years and over,,43,1057,49,10,0,82
2021,5,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,212,4910,277,79,4,411
2021,5,Alabama,Under 1 year,,0,39,0,0,0,0
2021,5,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,5,Alabama,5-14 years,,0,17,0,0,0,0
2021,5,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,65,0,0,0,4
2021,5,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,129,4,4,0,4
2021,5,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,201,4,4,0,15
2021,5,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,19,317,18,4,0,29
2021,5,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,47,760,42,17,4,73
2021,5,Alabama,65-74 years,,68,1143,83,26,0,125
2021,5,Alabama,75-84 years,,38,1168,75,15,0,98
2021,5,Alabama,85 years and over,,28,1069,50,10,0,68
2021,6,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,132,4697,270,45,4,358
2021,6,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,32,4,4,0,4
2021,6,Alabama,1-4 years,,0,12,0,0,0,0
2021,6,Alabama,5-14 years,,0,18,0,0,0,0
2021,6,Alabama,15-24 years,,0,74,0,0,0,0
2021,6,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,120,4,0,0,4
2021,6,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,193,4,4,0,15
2021,6,Alabama,45-54 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,325,13,4,0,18
2021,6,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,28,716,43,10,4,62
2021,6,Alabama,65-74 years,,33,1042,78,13,0,98
2021,6,Alabama,75-84 years,,35,1120,69,12,0,92
2021,6,Alabama,85 years and over,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,19,1045,53,4,0,67
2021,7,Alabama,All Ages,,261,4918,335,99,0,497
2021,7,Alabama,Under 1 year,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,43,4,0,0,4
2021,7,Alabama,1-4 years,,0,13,0,0,0,0
2021,7,Alabama,5-14 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,7,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,65,4,4,0,4
2021,7,Alabama,25-34 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,11,134,4,4,0,14
2021,7,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,11,190,4,4,0,16
2021,7,Alabama,45-54 years,,38,361,27,12,0,53
2021,7,Alabama,55-64 years,,50,781,63,21,0,92
2021,7,Alabama,65-74 years,,66,1089,85,26,0,125
2021,7,Alabama,75-84 years,,51,1179,81,18,0,114
2021,7,Alabama,85 years and over,,32,1055,56,10,0,78
2021,8,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1682,6655,854,632,4,1904
2021,8,Alabama,Under 1 year,,0,29,0,0,0,0
2021,8,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,0,4,0,0,0,0
2021,8,Alabama,5-14 years,,0,12,0,0,0,0
2021,8,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,63,4,4,0,4
2021,8,Alabama,25-34 years,,53,165,33,30,0,56
2021,8,Alabama,35-44 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,122,340,58,49,4,131
2021,8,Alabama,45-54 years,,235,601,96,86,0,245
2021,8,Alabama,55-64 years,,363,1129,174,139,0,398
2021,8,Alabama,65-74 years,,424,1527,214,158,0,480
2021,8,Alabama,75-84 years,,312,1515,172,114,0,370
2021,8,Alabama,85 years and over,,165,1267,103,53,0,215
2021,9,Alabama,All Ages,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1978,6766,981,761,4,2198
2021,9,Alabama,Under 1 year,,0,39,0,0,0,0
2021,9,Alabama,1-4 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,4,0,0,0,4
2021,9,Alabama,5-14 years,,0,11,0,0,0,0
2021,9,Alabama,15-24 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,4,67,0,0,0,4
2021,9,Alabama,25-34 years,,45,177,15,12,0,48
2021,9,Alabama,35-44 years,,141,336,60,53,0,148
2021,9,Alabama,45-54 years,,270,612,132,113,0,289
2021,9,Alabama,55-64 years,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,491,1208,248,206,4,533
2021,9,Alabama,65-74 years,,496,1604,249,190,0,555
2021,9,Alabama,75-84 years,,355,1501,176,129,0,402
